PLAYER,TEAM,POS,AGE,GP,MPG,MIN%,USG%,TOr,FTA,FT%,2PA,2P%,3PA,3P%,TS%,PPG,RPG,TRB%,APG,AST%,SPG,BPG,VI
Trevor Booker,Uta,PF,27,52,18,37.4,18.9,0.155,84,0.607,235,0.536,54,0.352,0.552,6.9,4.5,14.6,0.9,8.5,0.56,0.38,6.7
Carlos Boozer,Lal,PF,33,52,24.6,50.5,23.4,0.095,116,0.621,562,0.516,0,0,0.532,12.5,7,15.6,1.3,10,0.52,0.17,7.9
Chris Bosh,Mia,C,30,44,35.2,73.3,29.1,0.101,232,0.772,577,0.485,168,0.375,0.548,21.1,7,12.3,2.2,12.4,0.93,0.55,7.8
Avery Bradley,Bos,SG,24,51,30.8,63.5,20.9,0.089,70,0.814,436,0.475,217,0.35,0.511,13.7,2.7,4.9,1.6,8.1,0.92,0.22,5.1
Elton Brand,Atl,PF,35,18,12.3,25.4,12.8,0.113,13,0.462,49,0.449,0,0,0.457,2.8,3,13.8,0.5,5.9,0.5,0.67,5.2
Corey Brewer,Min,SF,28,24,28.1,58.1,20,0.161,78,0.705,185,0.465,41,0.195,0.482,10.5,3.9,8,3.3,18.5,2.25,0.17,7.3
Corey Brewer,Hou,SF,28,28,24.1,49.5,21.7,0.103,69,0.797,149,0.51,124,0.315,0.534,11.6,2.8,6.5,1.9,13.3,1.14,0.25,6.6
Aaron Brooks,Chi,PG,30,55,19.7,40.4,25.7,0.161,104,0.865,292,0.442,183,0.437,0.565,10.7,1.8,5.1,2.7,24,0.62,0.18,7.6
Lorenzo Brown,Min,PG,24,5,19.5,39,11.9,0.3,6,0.667,12,0.25,4,0.5,0.429,3.2,2,5.9,3,21.6,0.4,0,5.5
Markel Brown,Bro,SG,23,18,6,12,23.1,0.148,18,0.778,25,0.4,13,0.308,0.501,2.6,0.7,6.8,0.4,10.5,0.17,0.06,6
Shannon Brown,Mia,SG,29,5,17.6,36.7,13.4,0.162,4,0.75,12,0.333,7,0.429,0.482,4,0.2,0.7,0.6,5.4,0.8,0,1.8
Kobe Bryant,Lal,SG,36,35,34.3,70,35,0.135,241,0.813,529,0.401,184,0.293,0.477,22.3,5.7,9.1,5.6,30.2,1.34,0.2,10.4
Chase Budinger,Min,SF,26,44,14.7,30.4,16.5,0.135,31,0.806,124,0.395,73,0.342,0.47,4.5,2.5,9.6,0.8,7.9,0.5,0.11,5.7
Reggie Bullock,Lac,SF,23,25,10.3,22.3,10.7,0.096,5,0.8,15,0.533,39,0.385,0.578,2.6,1.6,8.7,0.2,3.1,0.36,0.08,3.7
Trey Burke,Uta,PG,22,53,31.3,65.1,22.9,0.107,93,0.785,427,0.405,272,0.313,0.455,12.7,2.6,4.8,4.6,25,0.81,0.23,6.8
Alec Burks,Uta,SG,23,27,33.1,69,20.9,0.127,129,0.822,232,0.409,68,0.382,0.524,13.9,4.2,7.4,3,15,0.63,0.19,6.8
Caron Butler,Det,SF,34,51,21,43.5,13.5,0.098,40,0.9,128,0.477,150,0.32,0.511,5.9,2.8,7.3,0.9,6.4,0.59,0.04,4.7
Jimmy Butler,Chi,SG,25,50,39.1,80.4,21.7,0.075,371,0.838,560,0.493,157,0.35,0.584,20.6,5.8,8.1,3.3,14.2,1.8,0.56,7.5
Rasual Butler,Was,SF,35,51,20.8,42.8,18.4,0.086,46,0.783,201,0.468,172,0.419,0.559,8.6,2.7,7.4,1,7.4,0.41,0.31,5.5
Nick Calathes,Mem,SG,25,30,12.5,25.3,18.1,0.168,18,0.444,96,0.5,20,0.25,0.48,4,1.3,5.8,2.5,30.6,0.87,0.1,7.5
Jose Calderon,Nyk,PG,33,40,30,61.9,16.2,0.162,30,0.9,202,0.426,136,0.426,0.531,9.3,3,5.8,4.7,25.4,0.75,0,6.8
Kentavious Caldwell-Pope,Det,SG,21,55,30.6,63.3,18.9,0.086,106,0.679,326,0.436,284,0.352,0.5,11.9,3.1,5.5,1.1,6.1,1.07,0.27,4.5
Isaiah Canaan,Hou,PG,23,26,14,28.7,19.4,0.141,21,0.762,47,0.447,84,0.381,0.549,5.9,1.3,5.1,1.1,12.9,0.54,0,5.8
DeMarre Carroll,Atl,SF,28,48,31.3,65,16,0.078,127,0.717,221,0.529,205,0.395,0.589,11.8,5.1,9.3,1.5,7.3,1.33,0.23,5.7
Vince Carter,Mem,SG,38,44,16.4,33.5,21.2,0.09,39,0.769,126,0.413,161,0.273,0.437,6,1.9,6.6,1.3,12.3,0.73,0.23,6
Michael Carter-Williams,Phi,PG,23,41,33.7,69.9,27.5,0.201,182,0.643,486,0.412,125,0.256,0.444,15,6.2,10,7.4,42.5,1.46,0.44,10.5
Omri Casspi,Sac,SF,26,39,17.1,35.1,18.8,0.149,106,0.736,169,0.533,25,0.24,0.573,7.1,3.5,11.5,1.3,12.2,0.31,0.15,7.4
Mario Chalmers,Mia,PG,28,53,30.8,64.3,19.9,0.18,202,0.777,305,0.459,165,0.279,0.514,10.8,2.8,5.5,4.3,23.3,1.68,0.13,6.6
Tyson Chandler,Dal,C,32,54,30.6,64.3,13,0.156,178,0.736,332,0.672,0,0,0.703,10.7,11.9,21,1.2,5.6,0.57,1.24,7
Wilson Chandler,Den,SF,27,53,31.6,65.4,20.6,0.097,88,0.807,381,0.486,299,0.334,0.515,14,5.9,10.1,1.5,8.1,0.62,0.42,6.3
Will Cherry,Cle,PG,23,8,8.5,17.4,17.1,0.156,6,0.5,10,0.3,9,0.222,0.347,1.9,0.6,4.2,1,16.7,0.75,0.13,4.9
Patrick Christopher,Uta,SG,26,4,7,14.6,21.2,0.077,0,0,8,0.375,4,0,0.25,1.5,1.5,12.5,0,0,0.25,0,0
Ian Clark,Uta,SG,23,22,6.5,13.6,15.7,0.142,5,1,18,0.333,22,0.364,0.486,1.9,0.6,5.3,0.4,9.7,0.27,0.09,4.7
Jordan Clarkson,Lal,PG,22,32,18.1,36.8,21.3,0.108,76,0.816,171,0.421,44,0.318,0.499,7.8,2.1,6.3,1.8,16.5,0.75,0.16,6.8
Victor Claver,Por,SF,26,10,7.4,14.4,14.6,0.167,0,0,9,0.333,11,0.545,0.6,2.4,2,14.5,0.1,2.1,0.1,0.1,4.2
Norris Cole,Mia,PG,26,47,24.2,50.5,16.1,0.151,46,0.696,204,0.446,102,0.265,0.452,6.3,2.3,5.8,3.5,23.7,0.89,0.17,6.1
Darren Collison,Sac,PG,27,45,34.6,71.1,21.2,0.151,184,0.788,389,0.514,161,0.373,0.575,16.1,3.2,5.2,5.6,27.9,1.49,0.31,7.6
Nick Collison,Okc,PF,34,47,16.1,33.9,13,0.145,40,0.625,125,0.472,52,0.231,0.46,3.8,3.7,12,1.3,11.2,0.49,0.34,6.5
Mike Conley,Mem,PG,27,49,31.5,64.4,24.9,0.133,185,0.859,449,0.479,197,0.401,0.568,16.9,3.2,5.8,5.3,28.3,1.2,0.12,8.4
Chris Copeland,Ind,SF,30,43,18.4,38,21.7,0.155,45,0.733,142,0.415,160,0.313,0.468,7,2.5,7.5,1.1,9.9,0.26,0.21,5.8
DeMarcus Cousins,Sac,C,24,41,34.3,70.5,34,0.17,360,0.8,735,0.469,2,0.5,0.548,23.9,12.5,20.8,3.3,19.4,1.41,1.68,11.6
Robert Covington,Phi,SF,24,44,28.2,58.4,21.1,0.122,131,0.84,196,0.403,270,0.381,0.551,13.1,4.7,9,1.5,9.6,1.43,0.48,6.4
Allen Crabbe,Por,SG,22,37,12.5,25.7,10.4,0.093,9,0.889,37,0.486,57,0.386,0.561,3,1.1,4.8,0.8,8.6,0.35,0.38,4.4
Jamal Crawford,Lac,SG,34,54,26.8,56.8,27.6,0.092,235,0.902,401,0.439,309,0.337,0.538,16.2,2,4.2,2.6,15.3,0.96,0.19,6.5
Jae Crowder,Dal,SF,24,25,10.4,21.9,15.5,0.11,11,0.909,38,0.526,38,0.342,0.55,3.6,1.2,6,0.5,6.5,0.6,0.2,5
