PLAYER,TEAM,POS,AGE,GP,MPG,MIN%,USG%,TOr,FTA,FT%,2PA,2P%,3PA,3P%,TS%,PPG,RPG,TRB%,APG,AST%,SPG,BPG,VI
Kalin Lucas,Mem,PG,25,1,5.3,5.7,8.6,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
Shelvin Mack,Atl,PG,24,32,13.5,27.9,19.9,0.161,19,0.789,83,0.446,65,0.308,0.476,4.7,1.4,6.1,2.7,30.9,0.41,0.06,7.7
Ian Mahinmi,Ind,C,28,34,18.5,38.1,12.5,0.206,51,0.373,116,0.595,0,0,0.567,4.6,6,18.2,0.6,4.9,0.47,0.62,5.5
Devyn Marble,Orl,SG,22,16,12.8,26.3,13.4,0.15,16,0.313,22,0.455,22,0.182,0.362,2.3,1.9,8.7,1.1,11.7,0.56,0.13,5.3
Shawn Marion,Cle,SF,36,50,19.8,41.1,12.6,0.101,33,0.758,191,0.482,43,0.279,0.493,4.9,3.5,10.2,0.9,6.9,0.5,0.52,5
Kendall Marshall,Mil,PG,23,28,14.7,30,15.4,0.25,9,0.889,55,0.509,46,0.391,0.562,4.2,1,3.9,3,30.8,0.75,0,6.3
Cartier Martin,Det,SF,30,16,8.7,17.7,13.4,0.119,0,0,13,0.385,24,0.167,0.297,1.4,0.7,4.3,0.4,6.2,0,0.06,3.4
Kenyon Martin,Mil,PF,37,11,9.2,18.2,11.5,0.116,2,1,22,0.409,0,0,0.437,1.8,1.7,10.8,0.5,7.1,0.45,0.55,5
Kevin Martin,Min,SG,31,19,32.8,67.6,26.2,0.099,93,0.86,185,0.492,111,0.396,0.585,20.7,4.4,7.6,2,11.1,0.89,0,6.9
Wesley Matthews,Por,SG,28,54,33.8,69.6,20.1,0.09,122,0.738,283,0.537,410,0.395,0.589,16.3,3.6,5.7,2.3,11.1,1.2,0.15,6.1
Jason Maxiell,Cha,PF,31,36,14,28.6,13.6,0.086,49,0.633,116,0.422,0,0,0.469,3.6,2.9,11.4,0.2,2.5,0.28,0.78,3.7
O.J. Mayo,Mil,SG,27,54,24.4,50.3,24,0.134,115,0.835,342,0.462,213,0.357,0.528,11.9,2.6,6.2,2.9,19.6,0.74,0.28,7.3
Luc Mbah a Moute,Phi,PF,28,47,28.8,59.8,18.4,0.134,109,0.624,313,0.473,131,0.29,0.486,10.2,5,9.4,1.4,8.6,1.28,0.3,5.8
Ray McCallum,Sac,PG,23,39,14.2,29,18,0.169,20,0.65,130,0.469,48,0.271,0.466,4.5,1.8,7.4,1.6,18.4,0.36,0.1,6.6
C.J. McCollum,Por,SG,23,39,12.5,25.6,19.6,0.103,40,0.7,97,0.381,77,0.403,0.509,5,1.1,4.5,0.8,9.5,0.54,0.08,5.2
K.J. McDaniels,Phi,SG,21,52,25.2,52.2,19.5,0.179,131,0.756,272,0.456,147,0.293,0.499,9.2,3.8,8.1,1.3,9.6,0.85,1.31,5.7
Doug McDermott,Chi,SF,23,22,9.2,18.6,17.1,0.193,13,0.615,30,0.633,27,0.259,0.534,3,1.3,7.8,0.1,2.3,0.14,0.05,3.2
Mitch McGary,Okc,PF,22,6,14.6,33.7,21.8,0.159,14,0.643,31,0.548,0,0,0.579,7.2,4.8,17.5,0,0,0.33,0.17,0
JaVale McGee,Den,C,27,17,11.3,23,19.7,0.15,29,0.69,61,0.557,0,0,0.597,5.2,2.8,13.5,0.1,0.9,0.12,1.12,4
Ben McLemore,Sac,SG,21,53,33.1,68.1,16.3,0.138,89,0.831,254,0.52,261,0.36,0.559,11.7,3,5.2,1.5,7.3,0.74,0.25,4.5
Josh McRoberts,Mia,PF,27,17,17.2,35.8,13.2,0.273,13,0.615,34,0.588,19,0.421,0.613,4.2,2.6,9.5,1.9,18.3,0.71,0.18,6.4
Jodie Meeks,Det,SG,27,33,24.5,50.5,21.5,0.082,94,0.947,192,0.469,127,0.299,0.531,11.6,1.7,3.8,1.6,10.7,1.03,0.09,5.2
Gal Mekel,Nor,PG,26,4,10.6,21,23.4,0.091,0,0,17,0.176,3,0,0.15,1.5,0.3,1.3,3.3,42.8,0.5,0,4.3
Khris Middleton,Mil,PF,23,51,27,55.5,18.7,0.104,86,0.849,317,0.498,153,0.425,0.575,11.5,4.4,9.3,1.9,11.3,1.61,0.16,6.8
C.J. Miles,Ind,SG,27,44,24.9,51.3,24.9,0.08,102,0.804,236,0.449,274,0.31,0.495,12.5,2.8,6.4,1.2,8.4,0.93,0.3,5.6
Andre Miller,Was,PG,38,51,12.2,25.1,15,0.224,39,0.718,134,0.567,8,0.125,0.575,3.6,1.5,7.1,2.8,33.9,0.27,0.04,8.1
Darius Miller,Nor,SF,24,5,8.4,16.8,8.6,0.125,0,0,6,0.167,1,0,0.143,0.4,0.2,1.3,0.4,6.2,0.2,0,1.5
Mike Miller,Cle,SF,34,39,14.8,30.6,9,0.165,2,0.5,13,0.308,82,0.329,0.469,2.3,1.9,7.5,0.9,8.8,0.33,0.1,4.3
Quincy Miller,Sac,PF,22,6,10,18.9,19.1,0.116,11,0.727,11,0.273,7,0.143,0.372,2.8,2,11.4,0.5,7.4,1,0.5,5.6
Patrick Mills,San,PG,26,24,18.8,39.2,21.8,0.096,27,0.852,86,0.43,100,0.36,0.518,8.5,1.8,5.4,1.5,12.7,0.5,0.08,6
Elijah Millsap,Uta,SG,27,20,21.7,45.1,15.7,0.189,30,0.733,62,0.274,45,0.378,0.445,5.4,3.2,8.5,1.2,7.9,1.15,0.45,5.1
Paul Millsap,Atl,PF,29,54,33,68.5,23.8,0.135,282,0.748,519,0.514,155,0.342,0.566,16.7,7.9,13.6,3,14.9,1.7,0.91,8.9
Nikola Mirotic,Chi,PF,23,55,16.8,34.6,18.9,0.1,132,0.78,141,0.447,152,0.349,0.553,7.1,4.2,13.7,1.1,10,0.56,0.53,7.6
Nazr Mohammed,Chi,C,37,11,5.3,10.4,12.4,0.123,3,0.333,13,0.385,0,0,0.384,1,1.5,15.9,0.1,2.5,0.09,0.27,4
Greg Monroe,Det,PF,24,53,30.1,62.3,23.9,0.131,248,0.746,640,0.495,0,0,0.547,15.5,10.3,18.5,2,11.6,0.91,0.4,9.1
E'Twaun Moore,Chi,SG,25,35,7.6,15.5,13.3,0.075,8,0.5,49,0.449,21,0.381,0.49,2.1,0.8,5.8,0.5,10.4,0.2,0.09,5
Darius Morris,Bro,PG,24,27,8.6,17.4,21.1,0.142,9,0.444,58,0.431,29,0.241,0.412,2.8,0.7,4.6,1.2,22.6,0.22,0,6.2
Marcus Morris,Pho,PF,25,55,22.7,46.7,19.1,0.087,65,0.646,275,0.498,192,0.401,0.552,9.9,3.9,9.5,1.4,9.5,0.71,0.22,6.7
Markieff Morris,Pho,PF,25,55,30.7,63.2,23.6,0.121,139,0.777,609,0.502,130,0.323,0.529,15.4,5.9,10.7,2,10.7,1.2,0.51,7.4
Anthony Morrow,Okc,SG,29,46,23.9,50.5,16.3,0.053,56,0.875,188,0.5,180,0.372,0.558,9.5,2.5,5.5,0.9,5.6,0.72,0.09,4.6
Donatas Motiejunas,Hou,PF,24,54,27.7,57.2,18.9,0.146,123,0.618,416,0.555,85,0.329,0.56,11.5,6.1,12.3,1.6,9.9,0.69,0.43,7
Timofey Mozgov,Den,C,28,35,25.4,52.3,15.5,0.148,86,0.733,226,0.509,6,0.333,0.554,8.5,7.8,16.5,0.5,2.8,0.43,1.17,5.1
Timofey Mozgov,Cle,C,28,20,27,56,16.5,0.126,56,0.661,148,0.588,0,0,0.611,10.6,8.4,17.8,0.7,3.9,0.45,1.6,5.9
Shabazz Muhammad,Min,SG,22,38,22.6,46.8,25.2,0.071,145,0.717,346,0.503,51,0.392,0.556,13.5,4.1,10.3,1.1,9.3,0.47,0.18,7
Mike Muscala,Atl,PF,23,18,8,16.5,20.3,0.11,11,0.909,48,0.563,4,0.25,0.589,3.7,2.2,15.8,0.3,5.9,0.22,0.33,6.7
Shabazz Napier,Mia,PG,23,42,21,43.8,16,0.247,48,0.771,97,0.392,104,0.365,0.511,5.4,2.5,7.2,2.7,20.4,0.88,0.1,6.3
Gary Neal,Cha,SG,30,43,21.5,43.9,24.6,0.11,102,0.863,265,0.392,133,0.293,0.466,9.6,2.2,5.7,1.9,15,0.37,0.02,6.4
Jameer Nelson,Dal,PG,32,23,25.2,53.3,15.7,0.19,8,0.875,60,0.383,103,0.369,0.501,7.3,2.7,5.9,4.1,22.4,0.65,0.09,6.9
Jameer Nelson,Bos,PG,32,6,20,38.3,19.7,0.167,9,0.667,16,0.25,25,0.2,0.323,4.8,2.8,7.8,5.5,37.7,1.17,0,8.4
Jameer Nelson,Den,PG,32,12,22.9,46.1,22.7,0.188,10,0.6,64,0.438,48,0.333,0.473,9.2,2.2,5.1,4.8,34,0.83,0,8
Andrew Nicholson,Orl,PF,25,19,9.4,19.4,21.2,0.072,9,0.444,60,0.333,13,0.462,0.403,3.3,1.3,7.7,0.4,6.2,0.11,0.16,5.1
Joakim Noah,Chi,C,29,44,30.3,62.1,14.5,0.179,113,0.646,302,0.444,2,0,0.482,7.8,9.8,17.6,3.7,18.5,0.66,1.34,8.7
Nerlens Noel,Phi,PF,20,50,30,62.2,15.8,0.178,118,0.559,391,0.448,0,0,0.47,8.3,7.2,13.2,1.6,9.3,1.64,1.84,6.1
Dirk Nowitzki,Dal,PF,36,53,29.6,62,25.6,0.066,210,0.89,567,0.503,190,0.353,0.564,18.1,6,10.9,1.9,10.7,0.51,0.47,8
Jusuf Nurkic,Den,C,20,42,17.4,35.9,21.2,0.149,88,0.67,264,0.451,1,0,0.489,7.1,6.5,20.3,0.9,8.3,0.86,1.36,8
Johnny O'Bryant,Mil,PF,21,25,11.9,24.1,19.7,0.14,22,0.455,101,0.376,0,0,0.389,3.4,2,9.7,0.6,7.2,0.2,0.16,5.4
Kyle O'Quinn,Orl,PF,24,41,17.2,35.7,18.1,0.172,51,0.765,170,0.541,39,0.282,0.553,6.2,4.1,13.7,1.3,12.4,0.66,0.93,7.5
Victor Oladipo,Orl,PG,22,47,33.9,70.3,24.8,0.15,195,0.815,509,0.479,139,0.331,0.535,16.7,4.1,6.9,3.8,19,1.57,0.17,7.5
Kelly Olynyk,Bos,C,23,40,24.3,49.9,20.4,0.155,88,0.682,242,0.57,102,0.353,0.58,11.1,5.4,12.2,1.7,11.2,1,0.73,7.7
Zaza Pachulia,Mil,C,30,45,23.1,47.4,19.2,0.182,95,0.779,316,0.44,2,0,0.489,7.8,6.5,16.3,2.2,15.1,0.96,0.31,8.3
Kostas Papanikolaou,Hou,SF,24,40,19.1,39.4,14.3,0.202,18,0.722,91,0.418,103,0.301,0.451,4.6,2.9,8.4,2.1,16.2,0.73,0.33,6.4
Jannero Pargo,Cha,PG,35,9,7.9,15.3,24.8,0.077,2,1,13,0.462,22,0.409,0.571,4.6,0.3,2.3,0.9,21.4,0,0,5.4
Jabari Parker,Mil,SF,19,25,29.3,59.6,21,0.139,66,0.697,247,0.506,16,0.25,0.527,12.3,5.5,10.8,1.7,9.5,1.24,0.2,6.6
Tony Parker,San,PG,32,41,28.9,60.2,24.4,0.152,105,0.819,439,0.469,61,0.492,0.538,14.3,1.9,3.6,5,29.1,0.59,0.05,7.1
Chandler Parsons,Dal,SF,26,54,32.9,69,20.4,0.089,155,0.735,389,0.506,288,0.375,0.558,15.4,4.8,7.9,2.4,11,1.06,0.28,6.8
Patrick Patterson,Tor,PF,25,54,26.3,54.2,13.2,0.07,57,0.789,173,0.532,190,0.405,0.593,8.5,5.5,12,1.8,10.2,0.74,0.52,6.7
Chris Paul,Lac,PG,29,55,34.6,73.2,22.7,0.128,207,0.879,523,0.509,230,0.383,0.579,17.8,4.9,7.9,9.8,44,1.91,0.16,11
Adreian Payne,Atl,PF,23,3,6.1,11.9,19.8,0,2,0.5,6,0.333,1,0,0.317,1.7,1.3,12.4,0,0,0.33,0,0
Elfrid Payton,Orl,PG,20,57,27.9,57.9,18.4,0.215,134,0.545,421,0.437,21,0.19,0.452,7.9,3.8,7.8,5.8,31.4,1.53,0.18,8
Nikola Pekovic,Min,C,29,23,27.3,56.3,22.9,0.094,108,0.843,251,0.442,0,0,0.524,13.6,7.3,15.4,1,6,0.52,0.43,6.8
Kendrick Perkins,Okc,C,30,51,19.1,40.2,13,0.253,75,0.507,185,0.443,1,0,0.461,4,5.5,15.2,0.8,6.2,0.27,0.75,5.4
Paul Pierce,Was,SF,37,52,26.7,54.9,20.8,0.11,171,0.784,282,0.496,207,0.377,0.574,12.5,4.2,9.1,2,11.5,0.65,0.35,7.1
Mason Plumlee,Bro,C,24,53,23.1,47.6,20.2,0.137,237,0.498,357,0.594,3,0,0.584,10.2,6.9,16.9,0.9,6.8,0.85,0.94,6.9
Miles Plumlee,Pho,C,26,54,18.4,37.9,11.3,0.175,38,0.5,195,0.549,0,0,0.55,4.3,5.1,15.2,0.5,3.8,0.65,1.02,4.8
Quincy Pondexter,Mem,SG,26,30,17.8,35.9,13.6,0.063,30,0.7,62,0.5,73,0.233,0.452,4.5,1.9,6.2,0.9,7.5,0.17,0.17,4.4
Quincy Pondexter,Nor,SF,26,17,25.3,52,14.4,0.095,29,0.759,63,0.46,48,0.354,0.529,7.7,3.1,7,1.1,6.5,0.47,0.41,4.7
Otto Porter,Was,SF,21,50,18,37.1,14.9,0.095,55,0.745,184,0.5,59,0.322,0.528,5.6,2.9,9.2,0.9,7.7,0.5,0.46,5.4
Dwight Powell,Dal,PF,23,17,10.1,21.4,13.7,0.075,25,0.76,35,0.514,3,0.667,0.622,3.6,1.9,10.4,0.4,5.7,0.41,0.24,5.5
Phil Pressey,Bos,PG,23,33,10.9,22.4,16.8,0.158,25,0.72,61,0.393,45,0.289,0.449,3.2,1.3,6.6,2,25.6,0.61,0.09,7.4
A.J. Price,Ind,PG,28,10,19.1,38.1,25.3,0.094,18,0.667,50,0.48,39,0.385,0.542,10.5,1.4,4.1,2.7,25.9,0.4,0,7.1
A.J. Price,Cle,PG,28,11,7.7,15.8,21.1,0.076,6,0.667,23,0.391,11,0,0.3,2,1.4,10.2,1.2,22.8,0.27,0,7.8
Ronnie Price,Lal,PG,31,42,22.8,46.6,13.3,0.174,41,0.805,112,0.411,108,0.287,0.458,5.2,1.5,3.7,3.8,24.4,1.5,0.1,5.4
Pablo Prigioni,Nyk,PG,37,43,18.3,37.8,12.9,0.214,26,0.846,46,0.543,115,0.374,0.583,4.7,1.9,5.9,2.4,20.2,1.21,0.02,6.1
Tayshaun Prince,Mem,SF,34,26,24,48.2,15.5,0.071,30,0.833,150,0.4,33,0.455,0.484,7.3,3.2,7.6,1.4,8.9,0.35,0.23,5.3
Tayshaun Prince,Bos,SF,34,9,21.8,43,14.6,0.061,6,0.833,51,0.549,8,0.625,0.616,8.4,3.3,8.4,2,14.3,0.56,0.22,7
Julius Randle,Lal,PF,20,1,13.3,16.1,16.2,0.205,2,0,3,0.333,0,0,0.258,2,0,0,0,0,0,0,0
Shavlik Randolph,Pho,PF,31,16,6.1,12.3,14,0.064,10,0.5,21,0.286,4,0,0.289,1.1,1.6,14.7,0.2,4,0.25,0.13,4.6
Zach Randolph,Mem,PF,33,44,32.3,65.9,25,0.12,201,0.756,587,0.491,7,0.571,0.542,16.8,12,21.1,1.8,9.3,0.95,0.2,8.8
J.J. Redick,Lac,SG,30,51,29.2,61.9,19.8,0.091,130,0.869,267,0.506,278,0.432,0.617,14.6,1.8,3.5,1.6,8.5,0.43,0.08,4.8
Glen Rice,Was,SG,24,5,8.3,15.4,21.5,0.102,6,0.667,8,0.25,7,0.143,0.312,2.2,0.8,5.5,0.4,6.6,0,0,4.3
Luke Ridnour,Orl,PG,33,32,14,28.9,15.1,0.177,15,0.867,80,0.5,34,0.353,0.535,4,1.7,6.9,2.1,23.1,0.25,0,6.9
Austin Rivers,Nor,SG,22,35,21.9,45.3,16.7,0.106,71,0.746,172,0.419,50,0.28,0.472,6.8,1.9,5,2.5,16.9,0.51,0.2,5.8
Austin Rivers,Lac,PG,22,15,18.9,42,18.6,0.101,15,0.467,73,0.466,27,0.259,0.45,6.4,1.7,5.1,1.7,13.3,0.8,0.07,5.6
Andre Roberson,Okc,SG,23,46,20.3,42.8,9.6,0.163,46,0.457,95,0.589,59,0.237,0.502,3.8,4.3,11.1,1.2,7.9,0.85,0.57,5.3
Brian Roberts,Cha,PG,29,52,19.4,40,18.4,0.108,60,0.9,202,0.45,135,0.333,0.51,7.1,1.5,4.3,2.4,20.8,0.38,0.08,6.1
Nate Robinson,Den,PG,30,33,13.9,28.6,23.1,0.09,40,0.65,112,0.42,92,0.261,0.433,5.8,1.2,4.6,2.3,27.3,0.42,0.09,7.3
Thomas Robinson,Por,PF,23,32,12,24.6,16.9,0.227,48,0.438,91,0.516,0,0,0.513,3.6,4.2,18.4,0.3,3.5,0.53,0.34,5.5
Rajon Rondo,Bos,PG,28,22,31.6,64.3,18.3,0.258,36,0.333,168,0.435,32,0.25,0.422,8.3,7.5,13.1,10.8,49.4,1.68,0.14,11.1
Rajon Rondo,Dal,PG,28,23,28.5,60.4,21.1,0.213,25,0.28,203,0.409,33,0.394,0.429,9.2,4.7,8.8,6.3,32.2,1.39,0.13,9.1
Derrick Rose,Chi,PG,26,44,30.9,63.4,31.8,0.149,163,0.81,510,0.471,241,0.29,0.5,18.7,3.1,5.4,5,30.1,0.68,0.34,8.6
Terrence Ross,Tor,SF,23,54,25.5,52.4,18.9,0.083,45,0.8,255,0.455,255,0.365,0.516,10.1,3.1,7.1,1,5.9,0.57,0.31,4.9
Ricky Rubio,Min,PG,24,11,28,57.3,22.3,0.228,31,0.774,88,0.398,20,0.4,0.485,10.7,5.2,10.6,8.4,47.7,1.64,0,11.1
Damjan Rudez,Ind,SF,28,44,16.2,33.5,13.8,0.137,20,0.65,68,0.544,112,0.357,0.548,4.7,0.8,2.7,0.9,8.3,0.3,0.11,3.7
Brandon Rush,Gol,SG,29,22,7.5,15.6,10.8,0.218,5,0.6,14,0.429,16,0.063,0.28,0.8,1.2,8.7,0.4,6.6,0.09,0.36,3.9
Robert Sacre,Lal,C,25,48,16.2,33.2,15.1,0.083,58,0.638,217,0.41,0,0,0.443,4.5,3.5,12,0.8,7.3,0.4,0.65,5.7
John Salmons,Nor,SF,35,21,12.6,26.1,9.3,0.091,4,0.5,22,0.364,26,0.308,0.422,2,1,4.5,0.6,6.8,0.43,0.19,3.4
JaKarr Sampson,Phi,SF,21,48,12.9,26.8,18,0.182,53,0.585,124,0.532,60,0.3,0.523,4.5,1.9,8.1,0.8,11.8,0.42,0.29,5.9
Larry Sanders,Mil,C,26,27,21.5,43.7,17.3,0.127,48,0.5,172,0.5,0,0,0.507,7.3,6.1,16.5,0.9,6.3,0.96,1.44,6.4
Dennis Schroder,Atl,PG,21,53,17.9,37.1,25.5,0.173,98,0.786,317,0.476,74,0.311,0.516,8.5,2,6.2,3.5,32.6,0.75,0.02,8.7
Luis Scola,Ind,PF,34,54,20.3,42,23.1,0.128,142,0.683,412,0.466,15,0.333,0.507,9.2,6.3,17.3,1.5,13.1,0.61,0.2,8.7
Mike Scott,Atl,PF,26,53,15.2,31.6,22.5,0.079,62,0.823,197,0.482,139,0.381,0.551,7.5,2.5,9.5,0.9,10.3,0.28,0.02,6.7
Thabo Sefolosha,Atl,SF,30,45,18.8,38.9,14,0.128,51,0.745,137,0.489,65,0.292,0.51,5.1,4.3,13.1,1.5,11.4,1.04,0.44,6.8
Kevin Seraphin,Was,C,25,52,15.6,32.1,22.1,0.162,64,0.734,301,0.528,1,0,0.553,7,3.8,13.8,0.8,8,0.08,0.67,7.1
Ramon Sessions,Sac,PG,28,36,17.6,36.1,19,0.187,88,0.727,155,0.368,28,0.214,0.442,5.4,1.9,6.2,2.7,23.4,0.36,0,6.9
Iman Shumpert,Nyk,SG,24,24,25.8,53.1,20.4,0.154,37,0.676,149,0.436,66,0.348,0.484,9.3,3.4,7.6,3.3,21,1.25,0.13,7.3
Iman Shumpert,Cle,SG,24,13,20.5,42.4,15.9,0.191,7,0.571,29,0.586,44,0.455,0.644,7.5,2.5,6.9,0.9,7,1.46,0.31,5
Alexey Shved,Phi,SG,26,17,16.5,34,27.1,0.104,57,0.842,73,0.479,57,0.298,0.545,9.9,1.3,4.3,2.7,32.8,0.82,0.06,7.9
Alexey Shved,Hou,SG,26,9,6.4,12.7,25.6,0.148,11,0.818,12,0.333,12,0.333,0.503,3.2,0.4,3.9,0.3,8.4,0.11,0,4.5
Henry Sims,Phi,C,24,54,20.2,41.8,21,0.15,106,0.783,378,0.5,18,0.222,0.534,8.8,5.3,14.3,1.1,10.7,0.54,0.35,7.4
Kyle Singler,Det,SF,26,54,23.6,49,14.1,0.103,36,0.806,163,0.393,187,0.406,0.526,7.1,2.6,5.9,1.2,8.1,0.61,0.26,4.8
Donald Sloan,Ind,PG,27,41,23.8,49.1,19.7,0.133,75,0.787,215,0.465,122,0.32,0.508,9.2,3.3,7.8,4.2,28.7,0.51,0,8.5
Marcus Smart,Bos,PG,20,38,24.4,50.2,15,0.166,69,0.638,86,0.407,149,0.342,0.503,7,3,6.7,3.5,20.1,1.26,0.16,6.9
Greg Smith,Dal,PF,24,36,9.2,19.4,9.6,0.153,36,0.528,45,0.622,0,0,0.616,2.1,2.1,12.2,0.2,3.2,0.19,0.31,4.2
Ish Smith,Okc,PG,26,30,5,10.5,16.8,0.155,9,0.667,40,0.35,5,0.2,0.378,1.2,0.9,9.6,0.9,27.2,0.13,0.03,7.9
J.R. Smith,Nyk,SG,29,24,25.6,52.7,23.6,0.144,39,0.692,161,0.429,90,0.356,0.487,10.9,2.4,5.5,3.4,22.8,0.75,0.17,7
J.R. Smith,Cle,SG,29,21,31.7,65.7,18.5,0.088,12,0.833,84,0.524,160,0.356,0.54,12.8,3,5.5,2.5,12.6,1.71,0.14,5.8
Jason Smith,Nyk,C,28,54,21.1,43.7,19.9,0.114,89,0.831,381,0.446,13,0.462,0.499,8,3.8,10.6,1.6,12.7,0.35,0.35,6.9
Josh Smith,Det,PF,29,28,31.8,65.5,25.4,0.141,111,0.468,354,0.407,37,0.243,0.417,13.1,7.2,12.3,4.7,25,1.32,1.71,9.6
Josh Smith,Hou,PF,29,27,25.2,51.7,24.9,0.174,55,0.436,223,0.48,75,0.36,0.495,11.8,6.1,13.5,2.6,18.3,0.96,1.11,9.1
Tony Snell,Chi,SF,23,45,15.2,31.1,13.6,0.106,23,0.783,83,0.554,93,0.376,0.578,4.8,1.8,6.6,0.6,6.2,0.49,0.16,4.6
Marreese Speights,Gol,PF,27,50,17.7,36.7,29.2,0.101,135,0.822,465,0.51,11,0.182,0.552,11.8,5,15.1,0.9,8.3,0.2,0.58,8.5
Tiago Splitter,San,C,30,31,18.8,39.3,17.9,0.15,68,0.75,168,0.536,0,0,0.584,7.5,4.6,13.6,1.7,14,0.61,0.68,8.3
Nik Stauskas,Sac,SG,21,50,13.4,27.5,13.9,0.096,35,0.857,82,0.402,92,0.261,0.444,3.4,1,4.4,0.7,8.2,0.24,0.2,4
Lance Stephenson,Cha,SG,24,38,29.7,60.7,20.5,0.179,76,0.592,304,0.428,79,0.152,0.409,9,5.6,10.6,4.9,27.4,0.71,0.16,8.4
Jarnell Stokes,Mem,PF,21,16,5.4,10.5,19,0.085,17,0.529,25,0.48,0,0,0.508,2.1,1.3,13.9,0.1,3.6,0.06,0.19,4.8
Amar'e Stoudemire,Nyk,PF,32,36,23.8,49.2,23.2,0.147,127,0.74,308,0.549,3,0,0.589,12,6.8,16.7,1,7.9,0.56,0.94,7.3
Rodney Stuckey,Ind,PG,28,47,25.8,53.2,22.8,0.126,144,0.833,400,0.463,71,0.352,0.529,12,3.4,7.4,3,20,0.83,0.11,7.7
Jared Sullinger,Bos,PF,22,51,28.4,58.7,23.7,0.089,119,0.748,492,0.504,173,0.289,0.512,14.4,8.1,15.7,2.4,14.1,0.75,0.69,9.2
Jeffery Taylor,Cha,SF,25,10,11.1,21.6,19.9,0.123,15,0.4,23,0.522,13,0.462,0.563,4.8,1.6,8,0.7,11,0.3,0.1,6.3
Jeff Teague,Atl,PG,26,51,31.1,64.6,25.7,0.157,243,0.868,483,0.509,159,0.333,0.575,16.9,2.5,4.5,7.5,40,1.67,0.49,8.8
Mirza Teletovic,Bro,PF,29,40,22.1,45.3,20.4,0.135,46,0.717,126,0.476,193,0.321,0.5,8.5,4.9,12.4,1.1,8.3,0.35,0.4,6.5
Sebastian Telfair,Okc,PG,29,16,20.3,43.9,20.8,0.115,34,0.706,65,0.431,59,0.288,0.471,8.2,1.9,4.9,2.8,21.1,0.63,0,6.9
Garrett Temple,Was,SG,28,43,12.6,25.9,14.2,0.154,34,0.765,68,0.397,60,0.383,0.521,3.5,1.6,7.3,1,11.3,0.81,0.12,5.6
Jason Terry,Hou,SG,37,51,20.9,43.1,15,0.147,33,0.788,83,0.494,217,0.387,0.572,7.1,1.5,4.1,2,15,0.92,0.25,5.3
Isaiah Thomas,Pho,PG,25,46,25.5,52.4,25.9,0.128,211,0.872,305,0.449,207,0.391,0.579,15.2,2.4,5.1,3.7,23,0.98,0.11,8
Lance Thomas,Okc,SF,26,22,20.3,43.4,15.2,0.108,33,0.697,125,0.36,1,0,0.402,5.1,3.4,8.9,0.9,6.5,0.5,0,4.9
Lance Thomas,Nyk,PF,26,13,24.5,49.8,20.5,0.142,18,0.722,113,0.469,0,0,0.492,9.2,3.3,7.9,1.5,10.9,0.62,0.15,5.8
Malcolm Thomas,Phi,PF,26,17,11.3,23.2,13.5,0.221,13,0.692,33,0.545,7,0,0.492,2.6,3.3,16,0.4,6.2,0.18,0.06,5.3
Hollis Thompson,Phi,SG,23,43,25.4,52.6,14.9,0.092,60,0.65,140,0.429,170,0.359,0.508,8,3.2,6.8,1.1,7.7,0.84,0.37,4.8
Jason Thompson,Sac,PF,28,52,24.6,50.6,12,0.157,88,0.625,251,0.474,1,0,0.504,5.6,6.4,14.8,0.9,5.8,0.35,0.62,5.2
Klay Thompson,Gol,SG,24,51,32.3,67,27.7,0.106,184,0.859,501,0.491,359,0.44,0.597,22,3.4,5.6,2.9,14.6,1.18,0.86,7.4
Tristan Thompson,Cle,PF,23,56,28.1,58.5,14.5,0.112,177,0.633,372,0.532,0,0,0.565,9.1,8.4,17.1,0.5,2.6,0.39,0.88,4.8
Marcus Thornton,Bos,SG,27,39,16.2,33.4,24.1,0.063,51,0.824,181,0.414,124,0.419,0.531,8.9,1.9,6.3,0.9,8.9,0.54,0.18,6.1
Anthony Tolliver,Pho,PF,29,24,11.1,22.6,14.4,0.126,6,0.667,12,0.167,62,0.387,0.522,3.3,1.8,9.1,0.4,5.2,0.17,0.04,4.8
Anthony Tolliver,Det,PF,29,25,18.8,38.8,15.9,0.124,39,0.821,41,0.683,90,0.378,0.641,7.6,3.4,9.6,0.8,7.1,0.4,0.32,5.8
P.J. Tucker,Pho,SF,29,51,28.5,58.6,12.5,0.118,69,0.739,177,0.514,159,0.365,0.555,8,5.9,11.6,1.6,7.8,1.33,0.31,5.9
Ronny Turiaf,Min,C,32,2,9.4,17.8,0,,0,0,0,0,0,0,,0,0.5,3,1,13.9,0,0,0
Hedo Turkoglu,Lac,SF,35,37,9.1,19.4,12.8,0.165,4,0.75,26,0.462,53,0.472,0.632,2.8,1.4,8.4,0.5,8.2,0.27,0.05,5.5
Evan Turner,Bos,SG,26,52,25.7,52.9,19.6,0.212,90,0.767,357,0.443,76,0.303,0.48,8.7,4.8,10.2,4.7,27.1,0.94,0.27,9
Beno Udrih,Mem,PG,32,51,18.5,37.7,19.8,0.138,70,0.843,250,0.572,70,0.243,0.564,7.8,1.7,5.4,3.1,27.5,0.65,0.12,7.5
